epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,8476.63,1.24888,1.78142,1.65074,0.48365,0.4406,0.47756,0.34158,1.78134,2.40822,2.13432,0.0005446,0.0005446,0.0005446
48,8649.62,1.25993,1.73593,1.66509,0.58074,0.41471,0.46,0.33357,1.80507,2.38229,2.16124,0.0005347,0.0005347,0.0005347
49,8805.86,1.21884,1.70186,1.62855,0.5044,0.45838,0.47876,0.34283,1.80368,2.41261,2.13845,0.0005248,0.0005248,0.0005248
50,8985.94,1.23114,1.7402,1.6264,0.50733,0.46707,0.47674,0.33766,1.78284,2.42323,2.09993,0.0005149,0.0005149,0.0005149
51,9151.98,1.17716,1.64492,1.58198,0.55065,0.46623,0.50842,0.34044,1.83141,2.42315,2.19697,0.000505,0.000505,0.000505
52,9321.25,1.2031,1.65104,1.61034,0.52565,0.45497,0.49689,0.34775,1.75834,2.37431,2.10024,0.0004951,0.0004951,0.0004951
53,9505.98,1.16604,1.61361,1.56872,0.51556,0.4663,0.49008,0.34153,1.81366,2.36735,2.15357,0.0004852,0.0004852,0.0004852
54,9678.82,1.19083,1.6687,1.62225,0.53358,0.4585,0.48148,0.3448,1.76063,2.40188,2.12853,0.0004753,0.0004753,0.0004753
55,9835.74,1.16717,1.5802,1.5872,0.52176,0.47782,0.49037,0.34376,1.82853,2.26301,2.16354,0.0004654,0.0004654,0.0004654
56,9984.56,1.18853,1.59253,1.61074,0.49633,0.47606,0.47533,0.34149,1.77397,2.48399,2.14852,0.0004555,0.0004555,0.0004555
57,10135.8,1.12501,1.5317,1.54775,0.51604,0.49336,0.49133,0.34451,1.81149,2.30517,2.21426,0.0004456,0.0004456,0.0004456
